,earned,headline,hours,jobs,rate,skills
0,$70k+,"System Admininstration, Web Design, Technical Writing","4,376",27,$22.22,"['Copywriting', 'Research Papers', 'Article Writing', 'Blog Writing', 'Content Writing', 'Comic Writing']"
1,$30k+,Experienced Marketing Project Manager,"1,605",21,$30.00,"['Internet Marketing', 'Project Management', 'Editing', 'Email Marketing', 'WordPress', 'Writing', 'Copyediting', 'Blog Writing', 'SEO Writing', 'Copywriting']"
2,$80k+,"Copywriter specializing in research, site copy and email marketing","2,711",86,$75.00,"['Blog Writing', 'Article Writing', 'Copywriting', 'Content Writing', 'Social Media Marketing', 'Social Bookmarking', 'SEO Keyword Research', 'Blog Commenting']"
3,$100k+,FrontEnd Developer with 10 years professional experience,"2,805",37,$50.00,"['React.js', 'Redux for JavaScript', 'JavaScript', 'CSS', 'Bootstrap', 'HTML', 'jQuery', 'Git', 'Responsive Web Design', 'Frontend Development']"
4,$100k+,Database developer,"3,526",23,$75.00,"['Database Modeling', 'Database Design', 'Database Programming', 'Web Scraping', 'API Development', 'ASP', 'Microsoft Windows Phone 7 App Development', 'Android App Development', 'Windows Phone', 'Transact-SQL']"
5,$90k+,"Professional, Dedicated Research/Admin/Data Entry Professional","6,780",21,$25.00,"['Data Entry', 'Administrative Support', 'Event Planning', 'Customer Service', 'Article Writing', 'Internet Research', 'Microsoft Excel', 'Microsoft Word', 'Virtual Assistant']"
6,$100k+,Customer Support superstar at your service,"7,463",22,$20.00,"['Email Handling', 'Customer Service', 'Data Entry', 'Administrative Support', 'Forum Moderation', 'Shopify', 'Live Chat Operator', 'Content Moderation', 'Chat Support', 'Email Technical Support']"
7,$9k+,The Write Executive - Online Business Management & VA Services,559,16,,
8,$30k+,"Author, Editor, Writer, Author Management Svcs.",316,178,$25.00,"['Copyediting', 'Proofreading']"
9,$100k+,"Content Marketing Strategy, Copy & CRO for Optimal Results","1,980",61,$79.00,"['Marketing Strategy', 'Copywriting', 'Internet Marketing', 'Business Proposal Writing', 'B2B Marketing', 'Quantitative Analysis', 'Business Development', 'Content Management']"
10,$50k+,Writer and Editor: Content and Blogs (Legal and More),461,155,$50.00,"['Legal Writing', 'Blog Writing', 'Article Writing', 'Content Writing', 'Press Release Writing', 'English Proofreading', 'Copyediting', 'SEO Writing', 'Ghostwriting', 'Editing']"
11,$90k+,,"5,478",4,$16.67,
12,$200k+,Top-Notch Project Manager and Graphic Designer,"5,592",74,$65.00,"['Project Management', 'Graphic Design', 'Copywriting', 'Adobe Photoshop', 'Adobe InDesign', 'Copyediting', 'Content Writing', 'Print Layout Design', 'Proofreading']"
13,$30k+,WordPress Developer & Landing Page Designer with Marketing Expertise,419,22,$85.00,"['WordPress', 'Lead Generation', 'Email Marketing', 'Landing Pages', 'Search Engine Optimization (SEO)', 'Google Analytics', 'Google AdWords', 'Facebook Marketing', 'Marketing Automation', 'User Experience Design']"
14,,International integrated marketing - writer,,,,"['Internet Marketing', 'Marketing Strategy', 'B2B Marketing', 'Brand Marketing', 'Email Marketing', 'Social Media Marketing', 'Broadcast Advertising', 'Creative Writing', 'Advertising']"
15,$20k+,"Project Manager,Virtual Assistant,Social Media Manager,Web Researcher",,,$15.00,
16,$4k+,"Freelancer, Paralegal, Proofreader, and Transcriptionist",248,18,$18.00,"['Legal Transcription', 'Transcription', 'Data Entry', 'Administrative Support', 'Document Conversion', 'Word Processing', 'Microsoft Word', 'PDF Conversion', 'Microsoft Office']"
